cleaned_smiles,Rift Valley fever virus,Herpes simplex virus,Yellow fever virus,Norovirus,JC polyomavirus,Varicella zoster virus,Human papilloma virus,Adenovirus,Hepatitis virus,Xenotropic murine leukemia virus-related virus,Rhinovirus,Epstein Barr virus,Chikungunya virus,Lassa virus,Ebola virus,Rabies virus,Zika virus,T-lymphotropic virus,West Nile virus,polyomavirus,Ross River virus,Marburg virus,Poliovirus,Kaposi's sarcoma-associated herpesvirus,Crimean-Congo hemorrhagic fever virus,Parainfluenza virus,Japanese encephalitis virus,Sindbis virus,Vaccinia virus,BK virus,Coronavirus,Rubella virus,Enterovirus,Influenza,Filovirus,Human immunodeficiency virus,Dengue virus,Cytomegalovirus,Respiratory syncytial virus
C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(NCC(=O)OCC)NCC(=O)OCC)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(F)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2cc(Cl)c3c(Cl)ccnc32)[C@@H]1O,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
C#C[C@@]1(O)[C@@H]2O[P@](=O)(OCCCCC(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,,,,,,,,,1.0,,,,,,0.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(CC)CC)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC2CCCC2)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OCc2ccccc2)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@@H](C)CC)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@H](C)CC)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)O[C@H](C)CC)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](Cc2ccccc2)C(=O)OC(C)C)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.0
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(Cl)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(F)c(Cl)c2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccc(F)cc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2cccc3ccccc23)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](CCC)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](COP(=S)(N[C@@H](CCSC)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@@]1(O)[C@H](O)[C@@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc2c(N)ncnc21,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,
C#C[C@@]1(O)[C@H](O)[C@@](F)(CO)O[C@H]1n1cnc2c(N)ncnc21,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,
C#C[C@@]1(O)[C@H](O)[C@@](F)(COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COC(=O)C(C)C)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
C#C[C@@]1(O)[C@H](OC(=O)C(C)C)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(C)[C@@H]2OP(=O)(OCCCC(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(C)[C@@H]2O[P@](=O)(OCCC(C)C(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(C)[C@@H]2O[P@](=O)(OCCCC(=O)OC(C)C)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(C)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(CO)C(=C)[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#C[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)C=C1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
C#C[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](F)[C@@H]1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1c(C#N)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1c(C(N)=O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,1.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,,,,,,,,1.0,,,,,,1.0,,0.0,,,,,,0.0,,,,,,,,,,,,1.0,,1.0,,1.0
C#Cc1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c2ncnc(N)c12,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c2ncnc(N)c12,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cn([C@@H]2O[C@](C)(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C#Cc1csc(-c2cc(O[C@H]3CC[C@H]4C(=O)N(C)CCCC/C=C\[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)[C@@H]4C3)c3ccc(OC)c(C)c3n2)n1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C(=C/c1ccccc1)\CC1CCCN1CC1CC1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
C/C(=C\CC[C@]1(C)[C@@H](C(=O)O)C[C@H]1[C@](C)(O)C(=O)O)C(=O)O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\c1c[nH]c2ccc(C#N)cc12)C(=O)Nc1ccc(C(C)(C)C)cc1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N(C)C)ccc3-c3ccc(Cl)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(C#N)cc3)cc2)n(C2CCCCC2)n1)C(=O)O,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\c1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1)CF,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\c1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1)CO,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=N\NC(=O)C1CC1c1ccccc1)c1ccc(N)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
C/C(=N\NC(=O)CSc1nc2ccccc2n1C)c1ccco1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccccn1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
